NM_ENTIDADE;DC_ACERTOS;DC_PONTUACAO;TX_ACERTOS;NU_ACERTO_HABILIDADE_1;NU_ACERTO_HABILIDADE_2;NU_ACERTO_HABILIDADE_3;NU_ACERTO_HABILIDADE_4;NU_ACERTO_HABILIDADE_5;NU_ACERTO_HABILIDADE_6;NU_ACERTO_HABILIDADE_7;NU_ACERTO_HABILIDADE_8;VL_FILTRO_DISCIPLINA
1º ANO A;65;;65;;;;;;;;;LÍNGUA PORTUGUESA
1º ANO A;78;;78;;;;;;;;;MATEMÁTICA
1º ANO B;70;;70;;;;;;;;;LÍNGUA PORTUGUESA
1º ANO B;84;;84;;;;;;;;;MATEMÁTICA
2º ANO A;88;;88;;;;;;;;;LÍNGUA PORTUGUESA
2º ANO A;95;;95;;;;;;;;;MATEMÁTICA
2º ANO B;85;;85;;;;;;;;;LÍNGUA PORTUGUESA
2º ANO B;91;;91;;;;;;;;;MATEMÁTICA
3º ANO A;83;;83;;;;;;;;;LÍNGUA PORTUGUESA
3º ANO A;76;;76;;;;;;;;;MATEMÁTICA
3º ANO B;89;;89;;;;;;;;;LÍNGUA PORTUGUESA
3º ANO B;86;;86;;;;;;;;;MATEMÁTICA
4º ANO A;80;;80;;;;;;;;;LÍNGUA PORTUGUESA
4º ANO A;89;;89;;;;;;;;;MATEMÁTICA
4º ANO B;87;;87;;;;;;;;;LÍNGUA PORTUGUESA
4º ANO B;85;;85;;;;;;;;;MATEMÁTICA
5º ANO A;78;;78;;;;;;;;;LÍNGUA PORTUGUESA
5º ANO A;75;;75;;;;;;;;;MATEMÁTICA
5º ANO B;81;;81;;;;;;;;;LÍNGUA PORTUGUESA
5º ANO B;76;;76;;;;;;;;;MATEMÁTICA
